,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Priest Holmes*+\HolmPr00,KAN,RB,29,14,14,0,1,0,0,0,313,1615,5.16,21,81,70,672,9.60,3,373,448.2,406.7,220,1,1
2,Ricky Williams*+\WillRi00,MIA,RB,25,16,16,0,0,0,0,0,383,1853,4.84,16,59,47,363,7.72,1,324,373.1,340.1,171,2,2
3,LaDainian Tomlinson*\TomlLa00,SDG,RB,23,16,16,0,0,0,0,0,372,1683,4.52,14,101,79,489,6.19,1,307,390.7,343.7,155,3,3
4,Clinton Portis\PortCl00,DEN,RB,21,16,12,0,0,0,0,0,273,1508,5.52,15,49,33,364,11.03,2,289,325.7,300.7,137,4,4
5,Marvin Harrison*+\HarrMa00,IND,WR,30,16,16,0,0,0,0,0,2,10,5.00,0,205,143,1722,12.04,11,241,387.2,312.7,121,1,5
6,Shaun Alexander\AlexSh00,SEA,RB,25,16,16,0,0,0,0,0,295,1175,3.98,16,78,59,460,7.80,2,272,335.0,298.0,119,5,6
7,Deuce McAllister*\McAlDe00,NOR,RB,24,15,15,0,0,0,0,0,325,1388,4.27,13,74,47,352,7.49,3,270,321.0,289.5,118,6,7
8,Tiki Barber\BarbTi00,NYG,RB,27,16,15,0,0,0,0,0,304,1387,4.56,11,95,69,597,8.65,0,264,334.9,289.9,112,7,8
9,Hines Ward*\WardHi00,PIT,WR,26,16,16,0,0,0,0,0,12,142,11.83,0,160,112,1329,11.87,12,227,344.6,282.1,107,2,9
10,Travis Henry*\HenrTr00,BUF,RB,24,16,16,0,0,0,0,0,325,1438,4.42,13,59,43,309,7.19,1,259,302.2,269.2,106,8,10
11,Terrell Owens*+\OwenTe00,SFO,WR,29,14,14,0,0,0,0,0,7,79,11.29,1,159,100,1300,13.00,13,226,324.9,271.9,106,3,11
