,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,LaDainian Tomlinson*+\TomlLa00,SDG,RB,27,16,16,2,3,20,2,0,348,1815,5.22,28,80,56,508,9.07,3,427,488.1,453.1,266,1,1
2,Larry Johnson*+\JohnLa00,KAN,RB,27,16,16,0,1,0,0,0,416,1789,4.30,17,66,41,410,10.00,2,334,379.9,352.4,173,2,2
3,Steven Jackson*\JackSt00,STL,RB,23,16,16,0,0,0,0,0,346,1528,4.42,13,110,90,806,8.96,3,329,423.4,370.4,168,3,3
4,Peyton Manning*\MannPe00,IND,QB,30,16,16,362,557,4397,31,9,23,36,1.57,4,0,0,0,,0,313,324.5,320.5,122,1,4
5,Frank Gore*\GoreFr00,SFO,RB,23,16,16,0,0,0,0,0,312,1695,5.43,8,86,61,485,7.95,1,272,336.0,296.5,111,4,5
6,Willie Parker*\ParkWi00,PIT,RB,26,16,16,0,0,0,0,0,337,1494,4.43,13,42,31,222,7.16,3,268,301.1,276.1,107,5,6
7,Brian Westbrook\WestBr00,PHI,RB,27,15,14,0,0,0,0,0,240,1217,5.07,7,105,77,699,9.08,4,258,339.6,294.1,97,6,7
8,Marvin Harrison*+\HarrMa00,IND,WR,34,16,16,0,0,0,0,0,0,0,,0,148,95,1366,14.38,12,211,306.1,255.1,94,1,8
9,Tiki Barber*\BarbTi00,NYG,RB,31,16,16,0,0,0,0,0,327,1662,5.08,5,75,58,465,8.02,0,243,305.2,268.7,82,7,9
10,Terrell Owens\OwenTe00,DAL,WR,33,16,15,0,0,0,0,0,0,0,,0,150,85,1180,13.88,13,198,286.0,240.5,81,2,10
11,Michael Vick\VickMi00,ATL,QB,26,16,16,204,388,2474,20,13,123,1039,8.45,2,1,1,1,1.00,0,269,284.5,273.5,77,2,11
12,Drew Brees*+\BreeDr00,NOR,QB,27,16,16,356,554,4418,26,11,42,32,0.76,0,0,0,0,,0,266,275.9,268.9,74,3,12
13,Reggie Wayne*\WaynRe00,IND,WR,28,16,16,0,0,0,0,0,0,0,,0,137,86,1310,15.23,9,187,275.5,229.0,70,3,13
14,Maurice Jones-Drew\DrewMa00,JAX,RB,21,16,1,0,0,0,0,0,166,941,5.67,13,62,46,436,9.48,2,228,285.2,255.7,67,8,14
